,name,count
0,nice-project_traffic_blocked,10
1,email_cloud,7
2,email_harris,8
3,email_dpo,3
4,email_kathy,7
5,email_doe,6
6,email_jane,9
7,email_lisa,7
8,email_peter,7
9,email_freemail,9
10,email_it_department,0
11,exercise_finished,0
12,nice-project_visited,12
13,it_department_blocked,9
14,nice-project_owner_found,10
15,phishing_targets_found,9
16,hosts_visited_phishing_site_found,5
17,kathy-host_found,4
18,lisa-host_found,4
19,peter-host_found,3
20,flow_search_nice-project_root,11
21,nice-project_vm_powered_off,3
